id;namespace_id;namespace_name;role_name;original_name;repository_id;repository_name;repository_original_name;provider_namespace_id;provider_name;provider_display_name;repository__provider__namespace__name
25179;5391;netshoes;ansible-ldapclient;ansible-ldapclient;71982;ansible-ldapclient;ansible-ldapclient;5391;netshoes;;netshoes
766;4839;lesovsky;postgresql-on-el6;postgresql-on-el6;73978;postgresql-on-el6;ansible-postgresql-on-el6;4839;lesovsky;;lesovsky
1650;38;lefant;openwrt-dnsmasq;openwrt-dnsmasq;48295;openwrt-dnsmasq;ansible-openwrt-dnsmasq;38;lefant;Fabian Linzberger;lefant
4242;5709;palkan;nodejs;nodejs;51075;nodejs;nodejs;682;palkan-ansible;;palkan-ansible
4398;3841;HanXHX;mysql;mysql;25984;mysql;ansible-mysql;3805;HanXHX;Emilien M;HanXHX
4247;5709;palkan;postgresql;postgresql;51077;postgresql;postgresql;682;palkan-ansible;;palkan-ansible
3561;3632;kbrebanov;vault;vault;24971;vault;ansible-vault;3600;kbrebanov;Kevin Brebanov;kbrebanov
3179;6025;ice9js;mongodb;mongodb;74179;mongodb;ansible-role-mongodb;5029;crystalplanet;;crystalplanet
5349;6141;ThiagoRuis;git;git;74046;git;git;2219;thiagoruis-roles;;thiagoruis-roles
23450;1676;miguelenes;zabbix-web;zabbix-web;54788;zabbix-web;ansible-zabbix-web;1660;miguelenes;Carlos Miguel Enes Oliveira;miguelenes
7734;2302;tuvistavie;exrm;exrm;74180;exrm;ansible-exrm;2282;tuvistavie;Daniel Perez;tuvistavie
24320;154;messer;dockerswarm;dockerswarm;56394;dockerswarm;ansible-dockerswarm;152;messer;Marcel Esser;messer
7902;2595;Temelio;ferm;ferm;26747;ferm;ansible-role-ferm;2572;Temelio;;Temelio
506;5724;ShadowKoBolt;core;core;74069;core;ansible-core;5724;ShadowKoBolt;;ShadowKoBolt
6238;3310;mats116;php5-fpm;php5-fpm;74070;php5-fpm;ansible-role-php5-fpm;3282;mats116;Kazuki Matsuda;mats116
1815;6091;CansaSCityShuffle;lamp;lamp;74076;lamp;role-lamp;4842;music-ant;;music-ant
4977;2947;edunham;xcode;xcode;74107;xcode;ansible-role-xcode;2923;edunham;E. Dunham;edunham
1473;5510;hnakamur;osx-node-js;osx-node-js;74097;osx-node-js;ansible-role-osx-node-js;5510;hnakamur;;hnakamur
7255;1978;jtyr;open_vm_tools;open_vm_tools;27915;open_vm_tools;ansible-open_vm_tools;1960;jtyr;Jiri Tyr;jtyr
7114;3388;Nainterceptor;ghost-blog;ghost-blog;32507;ghost-blog;ansible-role-ghost-blog;3359;Nainterceptor;;Nainterceptor
5301;762;jeffwidman;yum-cron;yum-cron;30116;yum-cron;ansible-yum-cron;754;jeffwidman;Jeff Widman;jeffwidman
12106;85;LIP-Computing;os-all-in-network;os-all-in-network;38734;os-all-in-network;ansible-role-os-all-in-network;84;LIP-Computing;LIP Computing;LIP-Computing
5833;6075;bantl23;banner;banner;42333;banner;banner;2705;bantl23roles;;bantl23roles
2854;3480;jpic;pg;pg;31182;pg;jpic.pg;3449;jpic;∞;jpic
7506;2554;bas-ansible-roles-collection;php5;php5;29007;php5;php5;2532;bas-ansible-roles-collection;BAS Ansible Roles Collection;bas-ansible-roles-collection
7847;3292;rogerscuall;evpn_vxlan-spine;evpn_vxlan-spine;27343;evpn_vxlan-spine;ansible-role-evpn_vxlan-spine;3264;rogerscuall;Roger Gomez;rogerscuall
238;5646;mstrisoline;logstash-play;logstash-play;74147;logstash-play;ansible-logstash-play;5646;mstrisoline;;mstrisoline
1780;5163;dguerri;openstack-neutron_server;openstack-neutron_server;74151;openstack-neutron_server;openstack-neutron_server;5163;dguerri;;dguerri
4106;6088;serversaurus;whm-chksrvd-cdp;whm-chksrvd-cdp;74172;whm-chksrvd-cdp;ansible-whm-chksrvd-cdp;865;arktisma;Nick Jaffe;arktisma
2538;6035;alban.andrieu;awstats;awstats;29102;awstats;ansible-awstats;3218;AlbanAndrieu;AlbanAndrieu;AlbanAndrieu
